Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total,Percentage
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,6,15,15,135,660,2.272727272727273
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,35,15,135,660,5.303030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,25,15,135,660,3.787878787878788
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2,90,15,135,660,13.636363636363637
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,3,245,15,135,660,37.121212121212125
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,4,185,15,135,660,28.03030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,5,65,15,135,660,9.848484848484848
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,6,15,15,135,660,2.272727272727273
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,7,3,135,132,5.303030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,5,3,135,132,3.787878787878788
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,18,3,135,132,13.636363636363637
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3,49,3,135,132,37.121212121212125
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,4,37,3,135,132,28.03030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,5,13,3,135,132,9.848484848484848
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,6,3,3,135,132,2.272727272727273
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,7,3,135,132,5.303030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,5,3,135,132,3.787878787878788
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,18,3,135,132,13.636363636363637
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3,49,3,135,132,37.121212121212125
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,4,37,3,135,132,28.03030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,5,13,3,135,132,9.848484848484848
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,6,3,3,135,132,2.272727272727273
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,0,252,81,180,1539,16.374269005847953
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,1,783,81,180,1539,50.87719298245614
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,2,171,81,180,1539,11.11111111111111
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,3,81,81,180,1539,5.2631578947368425
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,4,27,81,180,1539,1.7543859649122806
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,5,90,81,180,1539,5.847953216374269
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,6,108,81,180,1539,7.017543859649122
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,7,9,81,180,1539,0.5847953216374269
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,8,18,81,180,1539,1.1695906432748537
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,0,280,90,180,1710,16.374269005847953
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,1,870,90,180,1710,50.87719298245614
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,2,190,90,180,1710,11.11111111111111
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,3,90,90,180,1710,5.2631578947368425
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,4,30,90,180,1710,1.7543859649122806
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,5,100,90,180,1710,5.847953216374269
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,6,120,90,180,1710,7.017543859649122
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,7,10,90,180,1710,0.5847953216374269
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,8,20,90,180,1710,1.1695906432748537
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,0,56,18,180,342,16.374269005847953
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,1,174,18,180,342,50.87719298245614
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,2,38,18,180,342,11.11111111111111
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,3,18,18,180,342,5.2631578947368425
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,4,6,18,180,342,1.7543859649122806
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,5,20,18,180,342,5.847953216374269
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,6,24,18,180,342,7.017543859649122
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,7,2,18,180,342,0.5847953216374269
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,8,4,18,180,342,1.1695906432748537
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,0,56,18,180,342,16.374269005847953
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,1,174,18,180,342,50.87719298245614
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,2,38,18,180,342,11.11111111111111
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,3,18,18,180,342,5.2631578947368425
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,4,6,18,180,342,1.7543859649122806
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,5,20,18,180,342,5.847953216374269
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,6,24,18,180,342,7.017543859649122
