Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,25,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2,90,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,3,245,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,4,185,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,5,65,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,6,15,15,135,660
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,7,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,5,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,18,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3,49,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,4,37,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,5,13,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,6,3,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,7,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,5,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,18,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3,49,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,4,37,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,5,13,3,135,132
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,6,3,3,135,132
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,0,252,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,1,783,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,2,171,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,3,81,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,4,27,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,5,90,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,6,108,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,7,9,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,8,18,81,180,1539
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,0,280,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,1,870,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,2,190,90,180,1710
